Date,Data,Price,days_gap,Data_Change,Data_Pct_Change,Price_Change,Price_Pct_Change,Data_Lag_1,Data_Lag_2,Data_Lag_3,Data_Lag_4,Data_Lag_5,Data_Lag_6,Data_Lag_7,Data_Change_Lag_1,Data_Change_Lag_2,Data_Change_Lag_3,Data_Change_Lag_4,Data_Change_Lag_5,Data_Change_Lag_6,Data_Change_Lag_7,Data_MA_2,Data_MA_5,Data_MA_7,Data_MA_10,Data_MA_40
2010-03-03,0.655,1167.75,1.0,0.0,0.0,1.0,0.08570816370259138,0.655,0.655,0.656,0.658,0.659,0.661,0.661,0.0,-0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,-0.0020000000000000018,0.0,0.0,0.655,0.6558,0.657,0.6581,0.6689
2010-03-04,0.654,1171.5,1.0,-0.0010000000000000009,-0.15267175572518665,3.75,0.32113037893384266,0.655,0.655,0.655,0.656,0.658,0.659,0.661,0.0,0.0,-0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,-0.0020000000000000018,0.0,0.6545000000000001,0.655,0.656,0.6575,0.667775
2010-03-05,0.653,1185.75,1.0,-0.0010000000000000009,-0.1529051987767538,14.25,1.2163892445582691,0.654,0.655,0.655,0.655,0.656,0.658,0.659,-0.0010000000000000009,0.0,0.0,-0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,-0.0020000000000000018,0.6535,0.6544000000000001,0.6551428571428571,0.6567000000000001,0.6667500000000001
2010-03-08,0.652,1186.25,3.0,-0.0010000000000000009,-0.15313935681470214,0.5,0.042167404596238356,0.653,0.654,0.655,0.655,0.655,0.656,0.658,-0.0010000000000000009,-0.0010000000000000009,0.0,0.0,-0.0010000000000000009,-0.0020000000000000018,-0.0010000000000000009,0.6525000000000001,0.6538,0.6542857142857142,0.6557999999999999,0.66575
2010-03-09,0.652,1189.75,1.0,0.0,0.0,3.5,0.2950474183350815,0.652,0.653,0.654,0.655,0.655,0.655,0.656,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,0.0,-0.0010000000000000009,-0.0020000000000000018,0.652,0.6532,0.6537142857142858,0.6549,0.664775
2010-03-10,0.651,1195.0,1.0,-0.0010000000000000009,-0.15337423312883347,5.25,0.4412691741962682,0.652,0.652,0.653,0.654,0.655,0.655,0.655,0.0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,0.0,-0.0010000000000000009,0.6515,0.6524,0.6531428571428571,0.6541,0.663825
2010-03-11,0.65,1199.75,1.0,-0.0010000000000000009,-0.1536098310291889,4.75,0.39748953974896306,0.651,0.652,0.652,0.653,0.654,0.655,0.655,-0.0010000000000000009,0.0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,0.0,0.6505000000000001,0.6516,0.6524285714285715,0.6533,0.6629500000000002
2010-03-12,0.649,1200.5,1.0,-0.0010000000000000009,-0.15384615384614886,0.75,0.06251302354656207,0.65,0.651,0.652,0.652,0.653,0.654,0.655,-0.0010000000000000009,-0.0010000000000000009,0.0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,0.6495,0.6508,0.6515714285714286,0.6526,0.662075
2010-03-15,0.646,1199.5,3.0,-0.0030000000000000027,-0.46224961479198745,-1.0,-0.08329862557268086,0.649,0.65,0.651,0.652,0.652,0.653,0.654,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.6475,0.6496000000000001,0.6504285714285715,0.6517000000000001,0.6611750000000001
2010-03-16,0.646,1208.75,1.0,0.0,0.0,9.25,0.7711546477699116,0.646,0.649,0.65,0.651,0.652,0.652,0.653,-0.0030000000000000027,-0.0010000000000000009,-0.0010000000000000009,-0.0010000000000000009,0.0,-0.0010000000000000009,-0.0010000000000000009,0.646,0.6484,0.6494285714285715,0.6508,0.660325
